ID,latency_s,alone_source
8,79.88000000000002,T5_start_fallback
30,3.519999999999982,E_leaves
103,2.8000000000000114,E_leaves
110,22.359999999999985,E_leaves
112,19.266999999999996,E_leaves
158,9.300000000000011,E_leaves
160,9.36699999999999,E_leaves
189,26.23399999999998,E_leaves
198,13.334000000000003,E_leaves
206,15.5,E_leaves
210,18.0,E_leaves
223,3.25,E_leaves
224,18.25,E_leaves
229,11.299999999999983,E_leaves
230,3.1839999999999975,E_leaves
232,13.900000000000006,E_leaves
234,31.333,E_leaves
235,41.06700000000001,E_leaves
237,6.900000000000006,T5_start_fallback
248,20.5,E_leaves
251,13.650000000000006,T5_start_fallback
256,11.849999999999994,E_leaves
259,10.865999999999985,E_leaves
273,8.332999999999998,E_leaves
284,10.349999999999994,E_leaves
308,28.467000000000013,E_leaves
309,29.967,E_leaves
310,10.349999999999994,E_leaves
321,9.049999999999983,E_leaves
323,6.5330000000000155,E_leaves
329,8.349999999999994,E_leaves
334,8.867000000000004,E_leaves
348,4.900000000000006,E_leaves
350,30.73400000000001,E_leaves
355,50.266999999999996,E_leaves
357,19.533999999999992,E_leaves
361,17.733000000000004,E_leaves
362,11.550000000000011,E_leaves
372,0.09999999999999432,E_leaves
373,34.89999999999998,E_leaves
378,12.35499999999999,E_leaves
380,,E_leaves
381,0.4329999999999927,E_leaves
388,5.932999999999993,E_leaves
401,7.233000000000004,E_leaves
402,18.333000000000013,T5_start_fallback
403,11.365999999999985,E_leaves
411,13.550000000000011,E_leaves
413,10.36699999999999,E_leaves
415,5.299999999999997,E_leaves
416,17.567000000000007,E_leaves
421,15.834000000000003,E_leaves
427,4.9669999999999845,E_leaves
431,29.467000000000013,T5_start_fallback
432,11.067000000000007,E_leaves
440,70.83299999999997,E_leaves
442,4.937999999999988,E_leaves
445,14.067000000000007,E_leaves
469,51.599999999999994,E_leaves
471,16.165999999999997,T5_start_fallback
